Goethe-Zertifikat | Reason: possible_proper_noun | Context: Training zur Prüfung Goethe-Zertifikat Spiros Koukidis Jorina...
Hinsicht | Reason: possible_proper_noun | Context: Abendland in kulinarischer Hinsicht der TV-Starkoch e...
Verb | Reason: possible_proper_noun | Context: nach wie vor Verb brummen unübersehbar der...
DAT | Reason: abbreviation | Context: beteiligt sein an DAT die Kapazität bestimmen...
DAT | Reason: abbreviation | Context: beteiligt sein an DAT die Kapazität bestimmen...
Spezialverlag | Reason: possible_proper_noun | Context: Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF | Reason: possible_proper_noun | Context: Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
Jetlag | Reason: possible_proper_noun | Context: Rentenalter der soziale Jetlag die Diskrepanz das...
Zufall | Reason: possible_proper_noun | Context: die Mythen aus Zufall sich brüsten mit...
DAT | Reason: abbreviation | Context: beteiligt sein an DAT die Kapazität bestimmen...
FaD | Reason: possible_proper_noun | Context: von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
Bettflucht | Reason: possible_proper_noun | Context: Werkstatt die senile Bettflucht treiben das Ausgeschlafensein...
AKK | Reason: abbreviation | Context: in Bezug auf AKK der Tabakkonzern e...
AKK | Reason: abbreviation | Context: in Bezug auf AKK der Tabakkonzern e...
DAT | Reason: abbreviation | Context: beteiligt sein an DAT die Kapazität bestimmen...
AKK | Reason: abbreviation | Context: in Bezug auf AKK der Tabakkonzern e...
DAT | Reason: abbreviation | Context: beteiligt sein an DAT die Kapazität bestimmen...
Spezialverlag | Reason: possible_proper_noun | Context: Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF | Reason: possible_proper_noun | Context: Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
AKK | Reason: abbreviation | Context: in Bezug auf AKK der Tabakkonzern e...
GEN | Reason: abbreviation | Context: die Verletzlichkeit binnen GEN kognitiv erzielen sich...
FaD | Reason: possible_proper_noun | Context: von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
Fachleute | Reason: possible_proper_noun | Context: Orientierungssinn der Fachmann Fachleute die Navigationsfähigkeit en...
Spezialverlag | Reason: possible_proper_noun | Context: Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF | Reason: possible_proper_noun | Context: Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
Ressourcen | Reason: possible_proper_noun | Context: e die ökonomischen Ressourcen Pl fein sozial...
AKK | Reason: abbreviation | Context: in Bezug auf AKK der Tabakkonzern e...
FaD | Reason: possible_proper_noun | Context: von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
DAT | Reason: abbreviation | Context: beteiligt sein an DAT die Kapazität bestimmen...
AKK | Reason: abbreviation | Context: in Bezug auf AKK der Tabakkonzern e...
Spezialverlag | Reason: possible_proper_noun | Context: Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF | Reason: possible_proper_noun | Context: Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
Hochtouren | Reason: possible_proper_noun | Context: die Selbstverbesserungsindustrie auf Hochtouren laufen mit machen...
FaD | Reason: possible_proper_noun | Context: von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
Besonderes | Reason: possible_proper_noun | Context: zweisprachig etwas ganz Besonderes sich trauen der...
DAT | Reason: abbreviation | Context: beteiligt sein an DAT die Kapazität bestimmen...
Spezialverlag | Reason: possible_proper_noun | Context: Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF | Reason: possible_proper_noun | Context: Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
Bestand | Reason: possible_proper_noun | Context: Lebensgestaltung auf kommen Bestand haben die Lebensoption...
AKK | Reason: abbreviation | Context: in Bezug auf AKK der Tabakkonzern e...
FaD | Reason: possible_proper_noun | Context: von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
Goethe-Zertifikat | Reason: possible_proper_noun | Context: Training zur Prüfung Goethe-Zertifikat Spiros Koukidis Jorina...
Spiros | Reason: possible_proper_noun | Context: zur Prüfung Goethe-Zertifikat Spiros Koukidis Jorina Grünewald...
Koukidis | Reason: possible_proper_noun | Context: Prüfung Goethe-Zertifikat Spiros Koukidis Jorina Grünewald Melanie...
Jorina | Reason: possible_proper_noun | Context: Goethe-Zertifikat Spiros Koukidis Jorina Grünewald Melanie Liaropoulou...
Melanie | Reason: possible_proper_noun | Context: Koukidis Jorina Grünewald Melanie Liaropoulou Georgina Lymperopoulou...
Liaropoulou | Reason: possible_proper_noun | Context: Jorina Grünewald Melanie Liaropoulou Georgina Lymperopoulou Glossar...
Georgina | Reason: possible_proper_noun | Context: Grünewald Melanie Liaropoulou Georgina Lymperopoulou Glossar Deutsch...
Lymperopoulou | Reason: possible_proper_noun | Context: Melanie Liaropoulou Georgina Lymperopoulou Glossar Deutsch Griechisch...
Transkriptionen | Reason: possible_proper_noun | Context: Liaropoulou Georgina Lymperopoulou Transkriptionen ohne Lösungen Praxis...
Spezialverlag | Reason: possible_proper_noun | Context: Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF | Reason: possible_proper_noun | Context: Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
Transkriptionen | Reason: possible_proper_noun | Context: Liaropoulou Georgina Lymperopoulou Transkriptionen ohne Lösungen Praxis...
HÖRTEXT | Reason: abbreviation | Context: Test Teil S HÖRTEXT Liebe Hörerinnen und...
Ausgabe | Reason: possible_proper_noun | Context: willkommen zur neuen Ausgabe unseres Podcasts Die...
Podcasts | Reason: possible_proper_noun | Context: neuen Ausgabe unseres Podcasts Die Roman-Ecke Heute...
Heute | Reason: possible_proper_noun | Context: Podcasts Die Roman-Ecke Heute stellen wir Ihnen...
Romane | Reason: possible_proper_noun | Context: wir Ihnen drei Romane nordamerikanischer Autorinnen und...
Autorinnen | Reason: possible_proper_noun | Context: drei Romane nordamerikanischer Autorinnen und Autoren vor...
Autoren | Reason: possible_proper_noun | Context: nordamerikanischer Autorinnen und Autoren vor die Sie...
Norden | Reason: possible_proper_noun | Context: hoch oben im Norden an Das Flüstern...
Michael | Reason: possible_proper_noun | Context: Bäume des Kanadiers Michael Christie erzählt die...
Christie | Reason: possible_proper_noun | Context: des Kanadiers Michael Christie erzählt die Geschichte...
Generationen | Reason: possible_proper_noun | Context: für die über Generationen hinweg der Wald...
Verbindungsele | Reason: possible_proper_noun | Context: Wald das gemeinsame Verbindungsele ment ist Die...
Ring | Reason: possible_proper_noun | Context: orthodox am äußeren Ring also am Ende...
Ende | Reason: possible_proper_noun | Context: Ring also am Ende im Jahr wird...
Ring | Reason: possible_proper_noun | Context: orthodox am äußeren Ring also am Ende...
Ausgangspunkt | Reason: possible_proper_noun | Context: wieder zurück zum Ausgangspunkt Der Baum dient...
Symbol | Reason: possible_proper_noun | Context: nicht nur als Symbol für die Verflechtung...
Familienstrukturen | Reason: possible_proper_noun | Context: die Verflechtung verschiedenster Familienstrukturen Parallel zur spannenden...
Parallel | Reason: possible_proper_noun | Context: Verflechtung verschiedenster Familienstrukturen Parallel zur spannenden Familien...
Familiensaga | Reason: possible_proper_noun | Context: Parallel zur spannenden Familiensaga offenbart das Buch...
Zukunftsbild | Reason: possible_proper_noun | Context: Buch das unheimliche Zukunftsbild einer Natur die...
Natur | Reason: possible_proper_noun | Context: unheimliche Zukunftsbild einer Natur die dem selbstzerstörerischen...
Opfer | Reason: possible_proper_noun | Context: der Menschen zum Opfer fällt In jedem...
Hauptperson | Reason: possible_proper_noun | Context: steht eine andere Hauptperson im Fokus und...
Fokus | Reason: possible_proper_noun | Context: andere Hauptperson im Fokus und dabei handelt...
Charaktere | Reason: possible_proper_noun | Context: um durchweg unterschiedliche Charaktere die Zusammenhänge sichtbar...
Empfehlung | Reason: possible_proper_noun | Context: sind Unsere zweite Empfehlung führt uns nach...
Kalifornien | Reason: possible_proper_noun | Context: führt uns nach Kalifornien Mit seiner kraftvollen...
Sichtwei | Reason: possible_proper_noun | Context: seiner kraftvollen schonungslosen Sichtwei se ist Nachtschwärmerin...
Leila | Reason: possible_proper_noun | Context: ist Nachtschwärmerin von Leila Mottley mehr als...
Mottley | Reason: possible_proper_noun | Context: Nachtschwärmerin von Leila Mottley mehr als nur...
Autorin | Reason: possible_proper_noun | Context: Debütroman einer jungen Autorin Die siebzehnjährige Kiara...
Kiara | Reason: possible_proper_noun | Context: Autorin Die siebzehnjährige Kiara lebt mit ihrem...
Marcus | Reason: possible_proper_noun | Context: ihrem älteren Bruder Marcus in einem heruntergekommenen...
Apartment | Reason: possible_proper_noun | Context: in einem heruntergekommenen Apartment in East Oakland...
East | Reason: possible_proper_noun | Context: heruntergekommenen Apartment in East Oakland Kalifornien Die...
Oakland | Reason: possible_proper_noun | Context: Apartment in East Oakland Kalifornien Die beiden...
Kalifornien | Reason: possible_proper_noun | Context: führt uns nach Kalifornien Mit seiner kraftvollen...
Geschwister | Reason: possible_proper_noun | Context: Kalifornien Die beiden Geschwister haben die Highschool...
Abschluss | Reason: possible_proper_noun | Context: die Highschool ohne Abschluss verlassen und sind...
Eltern | Reason: possible_proper_noun | Context: sind ohne ihre Eltern auf sich allein...
Kiara | Reason: possible_proper_noun | Context: Autorin Die siebzehnjährige Kiara lebt mit ihrem...
Gewalt | Reason: possible_proper_noun | Context: Geschichte von sexueller Gewalt Po lizei-Korruption und...
Rechtsprechung | Reason: possible_proper_noun | Context: lizei-Korruption und vorurteilsbelasteter Rechtsprechung die ausgebeutete Frauen...
Frauen | Reason: possible_proper_noun | Context: Rechtsprechung die ausgebeutete Frauen einer unterprivilegier ten...
Gesellschaft | Reason: possible_proper_noun | Context: einer unterprivilegier ten Gesellschaft schlicht dazu bringt...
Amerika | Reason: possible_proper_noun | Context: Scheitern nähert Wer Amerika und seine Probleme...
Probleme | Reason: possible_proper_noun | Context: Amerika und seine Probleme besser verstehen möchte...
Letzter | Reason: possible_proper_noun | Context: Buch gelesen haben Letzter Titel für heute...
Bestseller-Roman | Reason: possible_proper_noun | Context: Gesang der Flusskrebse Bestseller-Roman der jährigen US-Amerikanerin...
US-Amerikanerin | Reason: possible_proper_noun | Context: Bestseller-Roman der jährigen US-Amerikanerin Delia Owens der...
Delia | Reason: possible_proper_noun | Context: der jährigen US-Amerikanerin Delia Owens der bereits...
Owens | Reason: possible_proper_noun | Context: jährigen US-Amerikanerin Delia Owens der bereits verfilmt...
Kya | Reason: possible_proper_noun | Context: die Lebensgeschichte von Kya erzählt einem Mädchen...
Marschland | Reason: possible_proper_noun | Context: und allein im Marschland von North Carolina...
North | Reason: possible_proper_noun | Context: im Marschland von North Carolina aufwächst Die...
Carolina | Reason: possible_proper_noun | Context: Marschland von North Carolina aufwächst Die Marsch...
Salz | Reason: possible_proper_noun | Context: eine Gegend mit Salz wiesen und Sandbänken...
Kya | Reason: possible_proper_noun | Context: die Lebensgeschichte von Kya erzählt einem Mädchen...
Frau | Reason: possible_proper_noun | Context: zu einer jungen Frau entwickelt verschmilzt sie...
Natur | Reason: possible_proper_noun | Context: unheimliche Zukunftsbild einer Natur die dem selbstzerstörerischen...
Krimi | Reason: possible_proper_noun | Context: atmosphärische Mischung aus Krimi Liebesroman und Drama...
Liebesroman | Reason: possible_proper_noun | Context: Mischung aus Krimi Liebesroman und Drama In...
Drama | Reason: possible_proper_noun | Context: Krimi Liebesroman und Drama In einem poetischen...
Autorin | Reason: possible_proper_noun | Context: Debütroman einer jungen Autorin Die siebzehnjährige Kiara...
Kyas | Reason: possible_proper_noun | Context: Autorin nicht nur Kyas Kampf um Anerken...
Kampf | Reason: possible_proper_noun | Context: nicht nur Kyas Kampf um Anerken nung...
Anerken | Reason: possible_proper_noun | Context: Kyas Kampf um Anerken nung und Aufnahme...
Aufnahme | Reason: possible_proper_noun | Context: Anerken nung und Aufnahme in die Gesellschaft...
Gesellschaft | Reason: possible_proper_noun | Context: einer unterprivilegier ten Gesellschaft schlicht dazu bringt...
Problemen | Reason: possible_proper_noun | Context: zwischenmenschlichen und strukturellen Problemen wie Mobbing Rassismus...
Mobbing | Reason: possible_proper_noun | Context: strukturellen Problemen wie Mobbing Rassismus Vernachlässigung von...
Rassismus | Reason: possible_proper_noun | Context: Problemen wie Mobbing Rassismus Vernachlässigung von Kindern...
Kindern | Reason: possible_proper_noun | Context: Rassismus Vernachlässigung von Kindern psychische und häusliche...
Gewalt | Reason: possible_proper_noun | Context: Geschichte von sexueller Gewalt Po lizei-Korruption und...
Ende | Reason: possible_proper_noun | Context: Ring also am Ende im Jahr wird...
Sendung | Reason: possible_proper_noun | Context: am Ende unserer Sendung angelangt Auf Wiederhören...
Ausgabe | Reason: possible_proper_noun | Context: willkommen zur neuen Ausgabe unseres Podcasts Die...
Podcasts | Reason: possible_proper_noun | Context: neuen Ausgabe unseres Podcasts Die Roman-Ecke Heute...
FaD | Reason: possible_proper_noun | Context: von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
Transkriptionen | Reason: possible_proper_noun | Context: Liaropoulou Georgina Lymperopoulou Transkriptionen ohne Lösungen Praxis...
HÖRTEXT | Reason: abbreviation | Context: Test Teil S HÖRTEXT Liebe Hörerinnen und...
Moderatorin | Reason: possible_proper_noun | Context: Teil S HÖRTEXT Moderatorin Herzlich willkommen zu...
Herzlich | Reason: possible_proper_noun | Context: S HÖRTEXT Moderatorin Herzlich willkommen zu unserer...
Sendung | Reason: possible_proper_noun | Context: am Ende unserer Sendung angelangt Auf Wiederhören...
Wissenschaft | Reason: possible_proper_noun | Context: zu unserer Sendung Wissenschaft am Nachmittag Heute...
Nachmittag | Reason: possible_proper_noun | Context: Sendung Wissenschaft am Nachmittag Heute begrüße ich...
Studio | Reason: possible_proper_noun | Context: begrüße ich im Studio Herrn Reinhard K...
Herrn | Reason: possible_proper_noun | Context: ich im Studio Herrn Reinhard K Sprenger...
Reinhard | Reason: possible_proper_noun | Context: im Studio Herrn Reinhard K Sprenger Autor...
Sprenger | Reason: possible_proper_noun | Context: Herrn Reinhard K Sprenger Autor und Philosoph...
Autor | Reason: possible_proper_noun | Context: Reinhard K Sprenger Autor und Philosoph Herr...
Herr | Reason: possible_proper_noun | Context: Autor und Philosoph Herr Sprenger Guten Tag...
Sprenger | Reason: possible_proper_noun | Context: Herrn Reinhard K Sprenger Autor und Philosoph...
Guten | Reason: possible_proper_noun | Context: Philosoph Herr Sprenger Guten Tag Moderatorin Herr...
Moderatorin | Reason: possible_proper_noun | Context: Teil S HÖRTEXT Moderatorin Herzlich willkommen zu...
Herr | Reason: possible_proper_noun | Context: Autor und Philosoph Herr Sprenger Guten Tag...
Sprenger | Reason: possible_proper_noun | Context: Herrn Reinhard K Sprenger Autor und Philosoph...
Arbeitskultur | Reason: possible_proper_noun | Context: von der heutigen Arbeitskultur In den meisten...
Firmen | Reason: possible_proper_noun | Context: In den meisten Firmen müssen sogenannte Jahresgespräche...
Weshalb | Reason: possible_proper_noun | Context: kaum jemand mag Weshalb wird trotzdem an...
Herr | Reason: possible_proper_noun | Context: Autor und Philosoph Herr Sprenger Guten Tag...
